Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,28.16,-24.92,270,bottom
C2,0.1u,C_0805_2012Metric,8.17375,-29.55875,0,bottom
C3,0.1u,C_0805_2012Metric,23.06,-37.91,0,bottom
C4,10u,C_0805_2012Metric,14.12375,-19.75,180,bottom
C5,22p,C_0805_2012Metric,31.96,-25.87,180,bottom
C6,1u,C_0805_2012Metric,19.12,-18.47,270,bottom
C7,22p,C_0805_2012Metric,31.96,-31.47,180,bottom
D1,1N4148,D_SOD-123,7.9375,-0.79375,90,bottom
D2,1N4148,D_SOD-123,11.1125,-0.79375,90,bottom
D3,1N4148,D_SOD-123,28.575,-0.79375,90,bottom
D4,1N4148,D_SOD-123,47.625,-0.79375,90,bottom
D5,1N4148,D_SOD-123,66.675,-0.79375,90,bottom
D6,1N4148,D_SOD-123,85.725,-0.79375,90,bottom
D7,1N4148,D_SOD-123,104.775,-0.79375,90,bottom
D8,1N4148,D_SOD-123,123.825,-0.79375,90,bottom
D9,1N4148,D_SOD-123,142.875,-0.79375,90,bottom
D10,1N4148,D_SOD-123,161.925,-0.79375,90,bottom
D11,1N4148,D_SOD-123,180.975,-0.79375,90,bottom
D12,1N4148,D_SOD-123,200.025,-0.79375,90,bottom
D13,1N4148,D_SOD-123,219.075,-0.79375,90,bottom
D14,1N4148,D_SOD-123,239.655,-0.79375,90,bottom
D15,1N4148,D_SOD-123,236.585,-0.79375,90,bottom
D16,1N4148,D_SOD-123,-3.175,-20.6375,90,bottom
D17,1N4148,D_SOD-123,58.7375,-19.84375,90,bottom
D18,1N4148,D_SOD-123,55.5625,-19.84375,90,bottom
D19,1N4148,D_SOD-123,74.6125,-19.84375,90,bottom
D20,1N4148,D_SOD-123,77.7875,-19.84375,90,bottom
D21,1N4148,D_SOD-123,95.25,-19.84375,90,bottom
D22,1N4148,D_SOD-123,114.3,-19.84375,90,bottom
D23,1N4148,D_SOD-123,133.35,-19.84375,90,bottom
D24,1N4148,D_SOD-123,152.4,-19.84375,90,bottom
D25,1N4148,D_SOD-123,171.45,-19.84375,90,bottom
D26,1N4148,D_SOD-123,190.5,-19.84375,90,bottom
D27,1N4148,D_SOD-123,209.55,-19.84375,90,bottom
D28,1N4148,D_SOD-123,228.6,-19.84375,90,bottom
D29,1N4148,D_SOD-123,252.4125,-19.84375,90,bottom
D30,1N4148,D_SOD-123,15.08125,-38.89375,90,bottom
D31,1N4148,D_SOD-123,41.275,-38.89375,90,bottom
D32,1N4148,D_SOD-123,44.45,-38.89375,90,bottom
D33,1N4148,D_SOD-123,61.9125,-38.89375,90,bottom
D34,1N4148,D_SOD-123,80.9625,-38.89375,90,bottom
D35,1N4148,D_SOD-123,100.0125,-38.89375,90,bottom
D36,1N4148,D_SOD-123,119.0625,-38.89375,90,bottom
D37,1N4148,D_SOD-123,138.1125,-38.89375,90,bottom
D38,1N4148,D_SOD-123,157.1625,-38.89375,90,bottom
D39,1N4148,D_SOD-123,176.2125,-38.89375,90,bottom
D40,1N4148,D_SOD-123,195.2625,-38.89375,90,bottom
D41,1N4148,D_SOD-123,214.3125,-38.89375,90,bottom
D42,1N4148,D_SOD-123,245.26875,-38.89375,90,bottom
D43,1N4148,D_SOD-123,19.84375,-57.94375,90,bottom
D44,1N4148,D_SOD-123,33.3375,-57.94375,90,bottom
D45,1N4148,D_SOD-123,52.3875,-57.94375,90,bottom
D46,1N4148,D_SOD-123,71.4375,-57.94375,90,bottom
D47,1N4148,D_SOD-123,90.4875,-57.94375,90,bottom
D48,1N4148,D_SOD-123,109.5375,-57.94375,90,bottom
D49,1N4148,D_SOD-123,128.5875,-57.94375,90,bottom
D50,1N4148,D_SOD-123,147.6375,-57.94375,90,bottom
D51,1N4148,D_SOD-123,166.6875,-57.94375,90,bottom
D52,1N4148,D_SOD-123,185.7375,-57.94375,90,bottom
D53,1N4148,D_SOD-123,204.7875,-57.94375,90,bottom
D54,1N4148,D_SOD-123,230.98125,-57.94375,90,bottom
D55,1N4148,D_SOD-123,258.715,-57.94375,90,bottom
D56,1N4148,D_SOD-123,12.7475,-76.99375,90,bottom
D57,1N4148,D_SOD-123,16.66875,-76.99375,90,bottom
D58,1N4148,D_SOD-123,40.48125,-76.99375,90,bottom
D59,1N4148,D_SOD-123,111.91875,-76.99375,90,bottom
D60,1N4148,D_SOD-123,183.315,-76.99375,90,bottom
D61,1N4148,D_SOD-123,204.7875,-76.99375,90,bottom
D62,1N4148,D_SOD-123,228.55,-76.99375,90,bottom
D63,1N4148,D_SOD-123,252.3625,-76.99375,90,bottom
D64,1N4148,D_SOD-123,7.9375,23.01875,90,bottom
D65,1N4148,D_SOD-123,14.2875,23.01875,90,bottom
D66,1N4148,D_SOD-123,33.3375,23.01875,90,bottom
D67,1N4148,D_SOD-123,52.3875,23.01875,90,bottom
D68,1N4148,D_SOD-123,71.4375,23.01875,90,bottom
D69,1N4148,D_SOD-123,95.25,23.01875,90,bottom
D70,1N4148,D_SOD-123,114.3,23.01875,90,bottom
D71,1N4148,D_SOD-123,133.35,23.01875,90,bottom
D72,1N4148,D_SOD-123,152.4,23.01875,90,bottom
D73,1N4148,D_SOD-123,176.2125,23.01875,90,bottom
D74,1N4148,D_SOD-123,195.2625,23.01875,90,bottom
D75,1N4148,D_SOD-123,214.3125,23.01875,90,bottom
D76,1N4148,D_SOD-123,233.3625,23.01875,90,bottom
D77,1N4148,D_SOD-123,257.175,23.01875,90,bottom
F1,500mA,Fuse_1206_3216Metric,15.71,-8.12,0,bottom
J1,JST SH 4-pin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,38,-8.5,270,bottom
R1,22,R_0805_2012Metric,23.34,-9.75,0,bottom
R2,22,R_0805_2012Metric,23.34,-7.25,0,bottom
R3,10k,R_0805_2012Metric,20.82375,-46.95,90,bottom
R4,10k,R_0805_2012Metric,40.71,-25.52,270,bottom
SW1,Reset,SW_SPST_TL3342,46.24375,-26.485,0,bottom
U1,SRV05-4,SOT-23-6,29.32375,-8.5,90,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,19.55375,-28.75875,270,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,31.96,-28.67,180,bottom
